# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
3570	0.010059	0.000801
3580	0.010382	0.000934
3590	0.010260	0.000828
3600	0.009962	0.000811
3610	0.008983	0.000715
3620	0.009963	0.001031
3630	0.009326	0.000890
3640	0.010267	0.000695
3650	0.011674	0.000886
3660	0.008863	0.001098
3670	0.009269	0.000845
3680	0.010207	0.000913
3690	0.010920	0.001102
3700	0.009948	0.000898
3710	0.010891	0.001089
3720	0.009177	0.000693
3730	0.010981	0.000908
3740	0.010657	0.000906
3750	0.009703	0.000686
3760	0.008835	0.000793
3770	0.008774	0.000724
3780	0.009334	0.000849
3790	0.009806	0.000870
3800	0.009616	0.000760
3810	0.009038	0.000755
3820	0.010090	0.000679
3830	0.011647	0.000767
3840	0.009633	0.000636
3850	0.008941	0.000644
3860	0.010783	0.000574
3870	0.009485	0.000925
3880	0.010393	0.000646
3890	0.014555	0.001054
3900	0.014315	0.000691
3910	0.013579	0.001781
3920	0.011193	0.000955
3930	0.015973	0.001212
3940	0.012049	0.000876
3950	0.011443	0.000676
3960	0.007140	0.000627
3970	0.008456	0.000985
3980	0.010792	0.001638
3990	0.010003	0.000869
4000	0.009867	0.000805
4010	0.008594	0.000731
4020	0.009060	0.000675
4030	0.009913	0.000812
4040	0.009447	0.000767
4050	0.009966	0.000794
4060	0.009673	0.000760
4070	0.007680	0.000708
