# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
3720	0.008182	0.004206
3730	0.008339	0.004732
3740	0.007000	0.004517
3750	0.008428	0.004683
3760	0.008280	0.004426
3770	0.008348	0.004701
3780	0.007774	0.004868
3790	0.007804	0.005026
3800	0.007444	0.004576
3810	0.007798	0.005778
3820	0.007547	0.005098
3830	0.009420	0.004394
3840	0.007141	0.005124
3850	0.008303	0.004417
3860	0.007054	0.005107
3870	0.007685	0.004416
3880	0.007331	0.004482
3890	0.009246	0.004546
3900	0.007617	0.004614
3910	0.008124	0.004572
3920	0.007077	0.004070
3930	0.007553	0.004878
3940	0.007848	0.004910
3950	0.007973	0.004455
3960	0.007542	0.004375
3970	0.007331	0.004707
3980	0.008674	0.004455
3990	0.007676	0.005266
4000	0.008334	0.005641
4010	0.006811	0.004918
4020	0.008571	0.005382
4030	0.010437	0.004871
4040	0.008946	0.004964
4050	0.008811	0.005445
4060	0.008827	0.006021
4070	0.009703	0.005382
